TRANS NO,SEQ,METER NO,READING DATE,EMPLOYEE ID,READING,USAGE AMOUNT,BILLED DATE,UOM,METER DESCRIPTION,METER TYPE,UTILITY TYPE,LONG DESCRIPTION,REGION CODE,FACILITY ID,BUILDING,USAGE FACTOR,START DATE,BUILDING NAME,BUILDING CLASS,PROPERTY TYPE,METER MULTIPLIER,YEAR-MONTH,SERIAL #,ROUTE NO
9017,5,STTOTPROD,4/30/2023 0:00,600317,NULL,0,NULL,LB,TOTAL STEAM PRODUCTION,MASTER,ST_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,12/31/2006 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,1,2023-4,NULL,TOTAL PRODUCTIO
9781,4,CW200A,7/31/2024 0:00,600317,145362,128362,9/6/2024 10:56,THR,ANDREW M. COATS HALL,NORMAL,CHILLED_WATER,NULL,NORMAN,SC,200,100,6/30/2024 0:00,ANDREW M. COATS HALL,NON_E_AND_G,ACADEMIC,1,2024-7,LL35229,SC
9864,4,CW200A,8/31/2024 0:00,600317,274127,128765,10/4/2024 13:07,THR,ANDREW M. COATS HALL,NORMAL,CHILLED_WATER,NULL,NORMAN,SC,200,100,6/30/2024 0:00,ANDREW M. COATS HALL,NON_E_AND_G,ACADEMIC,1,2024-8,LL35229,SC
9913,4,CW200A,9/30/2024 0:00,600317,368600,94473,11/7/2024 8:45,THR,ANDREW M. COATS HALL,NORMAL,CHILLED_WATER,NULL,NORMAN,SC,200,100,6/30/2024 0:00,ANDREW M. COATS HALL,NON_E_AND_G,ACADEMIC,1,2024-9,LL35229,SC
9509,63,CW287A,1/31/2024 0:00,600317,1041,1041,3/4/2024 14:02,THR,IRL 2,NORMAL,CHILLED_WATER,NULL,NORMAN,SC,287,100,12/31/2023 0:00,RADAR INNOVATIONS ASSEMBLY BUILDING 2,E&G,ACADEMIC,1,2024-1,LL37608,SC
9533,64,CW287A,2/29/2024 0:00,600317,6414,5373,4/8/2024 9:48,THR,IRL 2,NORMAL,CHILLED_WATER,NULL,NORMAN,SC,287,100,12/31/2023 0:00,RADAR INNOVATIONS ASSEMBLY BUILDING 2,E&G,ACADEMIC,1,2024-2,LL37608,SC
9559,60,CW287A,3/31/2024 0:00,600317,13644,7230,4/30/2024 7:50,THR,IRL 2,NORMAL,CHILLED_WATER,NULL,NORMAN,SC,287,100,12/31/2023 0:00,RADAR INNOVATIONS ASSEMBLY BUILDING 2,E&G,ACADEMIC,1,2024-3,LL37608,SC
9659,53,CW287A,4/30/2024 0:00,600317,24014,10370,5/31/2024 15:10,THR,IRL 2,NORMAL,CHILLED_WATER,NULL,NORMAN,SC,287,100,12/31/2023 0:00,RADAR INNOVATIONS ASSEMBLY BUILDING 2,E&G,ACADEMIC,1,2024-4,LL37608,SC
9711,50,CW287A,5/31/2024 0:00,600317,24014,NULL,6/28/2024 15:13,THR,IRL 2,NORMAL,CHILLED_WATER,NULL,NORMAN,SC,287,100,12/31/2023 0:00,RADAR INNOVATIONS ASSEMBLY BUILDING 2,E&G,ACADEMIC,1,2024-5,LL37608,SC
9748,49,CW287A,6/30/2024 0:00,600317,24014,NULL,7/31/2024 13:28,THR,IRL 2,NORMAL,CHILLED_WATER,NULL,NORMAN,SC,287,100,12/31/2023 0:00,RADAR INNOVATIONS ASSEMBLY BUILDING 2,E&G,ACADEMIC,1,2024-6,LL37608,SC
9781,45,CW287A,7/31/2024 0:00,600317,26873,2859,9/6/2024 10:56,THR,IRL 2,NORMAL,CHILLED_WATER,NULL,NORMAN,SC,287,100,12/31/2023 0:00,RADAR INNOVATIONS ASSEMBLY BUILDING 2,E&G,ACADEMIC,1,2024-7,LL37608,SC
9864,34,CW287A,8/31/2024 0:00,600317,42247,15374,10/4/2024 13:07,THR,IRL 2,NORMAL,CHILLED_WATER,NULL,NORMAN,SC,287,100,12/31/2023 0:00,RADAR INNOVATIONS ASSEMBLY BUILDING 2,E&G,ACADEMIC,1,2024-8,LL37608,SC
9913,34,CW287A,9/30/2024 0:00,600317,50784,8537,11/7/2024 8:45,THR,IRL 2,NORMAL,CHILLED_WATER,NULL,NORMAN,SC,287,100,12/31/2023 0:00,RADAR INNOVATIONS ASSEMBLY BUILDING 2,E&G,ACADEMIC,1,2024-9,LL37608,SC
8937,129,CW290B,1/31/2023 0:00,600317,16824906,33227,2/28/2023 13:28,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2023-1,LL 21590,SC
8953,129,CW290B,2/28/2023 0:00,600317,16855440,30534,3/31/2023 18:15,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2023-2,LL 21590,SC
